Combination,Accuracy,Experiment
S2vsS1,64.17,RFs-GIST
S2vsS2,100.0,RFs-GIST
S2vsS3,59.07,RFs-GIST
S2vsS4,70.08,RFs-GIST
S2vsS5,33.24,RFs-GIST
S3vsS1,52.66,RFs-GIST
S3vsS2,58.79,RFs-GIST
S3vsS3,100.0,RFs-GIST
S3vsS4,50.83,RFs-GIST
S3vsS5,29.41,RFs-GIST
S4vsS1,62.58,RFs-GIST
S4vsS2,65.19,RFs-GIST
S4vsS3,53.02,RFs-GIST
S4vsS4,100.0,RFs-GIST
S4vsS5,29.07,RFs-GIST
S5vsS1,43.74,RFs-GIST
S5vsS2,35.97,RFs-GIST
S5vsS3,34.61,RFs-GIST
S5vsS4,29.57,RFs-GIST
S5vsS5,100.0,RFs-GIST
S1vsS1,100.0,RFs-ESF
S1vsS2,65.08,RFs-ESF
S1vsS3,64.1,RFs-ESF
S1vsS4,64.34,RFs-ESF
S1vsS5,36.36,RFs-ESF
S2vsS1,64.29,RFs-ESF
S2vsS2,100.0,RFs-ESF
S2vsS3,70.24,RFs-ESF
S2vsS4,70.24,RFs-ESF
S2vsS5,34.38,RFs-ESF
S3vsS1,62.49,RFs-ESF
S3vsS2,65.98,RFs-ESF
S3vsS3,100.0,RFs-ESF
S3vsS4,62.62,RFs-ESF
S3vsS5,34.87,RFs-ESF
S4vsS1,67.98,RFs-ESF
S4vsS2,68.88,RFs-ESF
S4vsS3,73.84,RFs-ESF
S4vsS4,100.0,RFs-ESF
S4vsS5,35.63,RFs-ESF
S5vsS1,51.44,RFs-ESF
S5vsS2,49.22,RFs-ESF
S5vsS3,48.4,RFs-ESF
S5vsS4,49.88,RFs-ESF
S5vsS5,100.0,RFs-ESF
S1vsS1,99.29,RFs-Clarifai
S1vsS2,65.82,RFs-Clarifai
S1vsS3,57.38,RFs-Clarifai
S1vsS4,67.92,RFs-Clarifai
S1vsS5,41.6,RFs-Clarifai
S2vsS1,67.56,RFs-Clarifai
S2vsS2,99.83,RFs-Clarifai
S2vsS3,59.52,RFs-Clarifai
S2vsS4,68.84,RFs-Clarifai
S2vsS5,36.44,RFs-Clarifai
S3vsS1,55.59,RFs-Clarifai
S3vsS2,57.5,RFs-Clarifai
S3vsS3,99.42,RFs-Clarifai
S3vsS4,48.36,RFs-Clarifai
S3vsS5,37.05,RFs-Clarifai
S4vsS1,68.19,RFs-Clarifai
S4vsS2,66.15,RFs-Clarifai
S4vsS3,53.11,RFs-Clarifai
S4vsS4,99.52,RFs-Clarifai
S4vsS5,40.57,RFs-Clarifai
S5vsS1,52.41,RFs-Clarifai
S5vsS2,49.73,RFs-Clarifai
S5vsS3,44.04,RFs-Clarifai
S5vsS4,50.46,RFs-Clarifai
S5vsS5,99.58,RFs-Clarifai
